hash, error, error category, repair description, vs docker extesion repair
484096634.log, ADD failed, misconfiguration, out of a context, 
484096636.log, ADD failed, misconfiguration, out of a context, 
484096638.log, ADD failed, misconfiguration, out of a context, 
484096640.log, ADD failed, misconfiguration, out of a context, 
483202780.log, returned a non-zero code, syntax or malformed command, not repaired,  
483202781.log, returned a non-zero code, syntax or malformed command, not repaired,  
483357603.log, returned a non-zero code, syntax or malformed command, not repaired,  
483359537.log, returned a non-zero code, syntax or malformed command, not repaired,  
483424656.log, returned a non-zero code, syntax or malformed command, not repaired,  
483444075.log, returned a non-zero code, syntax or malformed command, not repaired,  
483569920.log, returned a non-zero code, syntax or malformed command, not repaired,  
483616613.log, returned a non-zero code, syntax or malformed command, not repaired,  
483647836.log, returned a non-zero code, syntax or malformed command, not repaired,  
483647845.log, returned a non-zero code, syntax or malformed command, not repaired,  
483649750.log, returned a non-zero code, syntax or malformed command, not repaired,  
483704138.log, returned a non-zero code, syntax or malformed command, not repaired,  
483704139.log, returned a non-zero code, syntax or malformed command, not repaired,  
483705926.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733140.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733150.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733158.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733165.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733171.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733225.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733229.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733234.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733237.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733279.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733284.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733309.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733315.log, returned a non-zero code, syntax or malformed command, not repaired,  
483733323.log, returned a non-zero code, syntax or malformed command, not repaired,  
483779177.log, returned a non-zero code, syntax or malformed command, not repaired,  
483779178.log, returned a non-zero code, syntax or malformed command, not repaired,  
483779179.log, returned a non-zero code, syntax or malformed command, not repaired,  
483779180.log, returned a non-zero code, syntax or malformed command, not repaired,  
483827279.log, returned a non-zero code, syntax or malformed command, not repaired,  
483853313.log, returned a non-zero code, syntax or malformed command, not repaired,  
483948057.log, returned a non-zero code, syntax or malformed command, not repaired,  
483953662.log, returned a non-zero code, syntax or malformed command, not repaired,  
483954673.log, returned a non-zero code, syntax or malformed command, not repaired,  
483954674.log, returned a non-zero code, syntax or malformed command, not repaired,  
483989984.log, returned a non-zero code, syntax or malformed command, not repaired,  
484021496.log, returned a non-zero code, syntax or malformed command, not repaired,  
484065998.log, returned a non-zero code, syntax or malformed command, not repaired,  
484096006.log, returned a non-zero code, syntax or malformed command, not repaired,  
484096401.log, returned a non-zero code, syntax or malformed command, not repaired,  
484096402.log, returned a non-zero code, syntax or malformed command, not repaired,  
484096403.log, returned a non-zero code, syntax or malformed command, not repaired,  
484096404.log, returned a non-zero code, syntax or malformed command, not repaired,  
484096581.log, returned a non-zero code, syntax or malformed command, not repaired,  
484096586.log, returned a non-zero code, syntax or malformed command, not repaired,  
484096588.log, returned a non-zero code, syntax or malformed command, not repaired,  
484096594.log, returned a non-zero code, syntax or malformed command, not repaired,  
484096604.log, returned a non-zero code, syntax or malformed command, not repaired,  
484096610.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097236.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097237.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097239.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097240.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097245.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097249.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097250.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097251.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097253.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097254.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097255.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097256.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097259.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097260.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097261.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097264.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097265.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097274.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097278.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097281.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097338.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097375.log, returned a non-zero code, syntax or malformed command, not repaired,  
484097895.log, returned a non-zero code, syntax or malformed command, not repaired,  
484136730.log, returned a non-zero code, syntax or malformed command, not repaired,  
484144517.log, returned a non-zero code, syntax or malformed command, not repaired,  
484203727.log, returned a non-zero code, syntax or malformed command, not repaired,  
484203728.log, returned a non-zero code, syntax or malformed command, not repaired, 
